City,Lat,Lng,Country,Date,Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
santa maria del oro,25.95,-105.37,MX,5/31/2019,74.73,17,0,9.06
katsuura,33.93,134.5,JP,5/31/2019,73.99,78,75,4.7
ngunguru,-35.62,174.5,NZ,5/31/2019,60.01,80,70,5.01
portobelo,9.55,-79.65,PA,5/31/2019,80.6,94,75,6.93
karratha,-20.74,116.85,AU,5/31/2019,80.85,18,2,21.63
tual,-5.67,132.75,ID,5/31/2019,81.75,81,45,17.65
pasni,25.26,63.48,PK,5/31/2019,93.63,35,0,10.33
nantucket,41.28,-70.1,US,5/31/2019,55.99,100,90,12.75
bar harbor,44.39,-68.2,US,5/31/2019,50,93,90,11.41
mahajanga,-15.72,46.32,MG,5/31/2019,71.6,94,20,2.24
kamaishi,39.28,141.86,JP,5/31/2019,73.4,56,75,8.05
saldanha,41.42,-6.55,PT,5/31/2019,61.59,60,0,5.23
portel,38.31,-7.71,PT,5/31/2019,62.6,59,0,4.7
negombo,7.21,79.83,LK,5/31/2019,84.2,89,40,6.93
rauma,61.13,21.5,FI,5/31/2019,42.8,81,100,9.17
pangkalanbuun,-2.68,111.62,ID,5/31/2019,88.95,57,100,4.63
ponta delgada,37.73,-25.67,PT,5/31/2019,64.4,100,40,3.36
namibe,-15.19,12.15,AO,5/31/2019,66.63,81,0,14
vytegra,61.01,36.45,RU,5/31/2019,44.31,65,0,6.31
neka,36.65,53.3,IR,5/31/2019,68,82,0,6.6
gizo,31.8,34.94,IL,5/31/2019,73.4,83,0,8.05
mandeville,18.04,-77.51,JM,5/31/2019,80.6,78,20,4.7
kupang,-10.16,123.6,ID,5/31/2019,84.81,66,77,16.73
launceston,-41.43,147.14,AU,5/31/2019,62.01,54,6,13.87
gwadar,25.12,62.33,PK,5/31/2019,88.05,70,0,10.51
mabay,20.35,-76.78,CU,5/31/2019,75.2,88,40,5.82
taywarah,33.35,64.42,AF,5/31/2019,62.49,44,0,6.15
samarinda,-0.5,117.14,ID,5/31/2019,92.55,51,94,2.19
zalantun,48,122.72,CN,5/31/2019,61.95,45,94,10.49
chernyshevskiy,63.01,112.47,RU,5/31/2019,59.97,37,0,5.97
yulara,-25.24,130.99,AU,5/31/2019,57.2,30,0,19.46
nikki,9.94,3.21,BJ,5/31/2019,76.53,83,86,10.2
kawalu,-7.38,108.21,ID,5/31/2019,73.11,88,92,4.61
yoichi,43.19,140.77,JP,5/31/2019,69.8,37,75,23.04
wad rawah,15.16,33.13,SD,5/31/2019,93.63,30,35,15.64
elizabeth city,36.3,-76.22,US,5/31/2019,82.99,74,1,8.01
lavrentiya,65.58,-170.99,RU,5/31/2019,44.13,66,85,9.55
bayir,37.27,28.22,TR,5/31/2019,64.4,77,0,3.36
yen bai,21.7,104.87,VN,5/31/2019,72.57,99,100,2.39
nanning,22.83,108.3,CN,5/31/2019,75.2,88,90,6.71
ostrovnoy,68.05,39.51,RU,5/31/2019,50.79,50,14,13.44
berlevag,70.86,29.09,NO,5/31/2019,43.23,72,21,12.91
sao joao da barra,-21.64,-41.05,BR,5/31/2019,69.51,97,87,3.51
belmonte,40.36,-7.35,PT,5/31/2019,57.99,56,0,1.01
talas,38.69,35.55,TR,5/31/2019,66.2,55,0,2.24
bastrop,32.78,-91.91,US,5/31/2019,77,94,20,1.05
college,64.86,-147.8,US,5/31/2019,73.4,30,75,10.29
harboore,56.62,8.18,DK,5/31/2019,48,73,85,12.64
sabya,16.19,43.1,YE,5/31/2019,88.95,65,54,5.7
adrar,27.87,-0.29,DZ,5/31/2019,84.2,21,6,14.99
liverpool,53.41,-2.98,GB,5/31/2019,60.01,82,20,3.36
lhokseumawe,5.18,97.15,ID,5/31/2019,85.17,60,100,4
hvide sande,56.01,8.13,DK,5/31/2019,52,100,100,5.82
havre-saint-pierre,50.23,-63.6,CA,5/31/2019,41,86,90,21.92
minot,48.23,-101.3,US,5/31/2019,72,46,1,5.82
san carlos de bariloche,-41.13,-71.31,AR,5/31/2019,35.6,93,75,5.82
westport,53.8,-9.52,IE,5/31/2019,57,94,100,1.99
calbuco,-41.77,-73.13,CL,5/31/2019,53.6,87,90,20.8
marquette,46.54,-87.4,US,5/31/2019,46.4,39,40,1.45
natal,-5.81,-35.21,BR,5/31/2019,75.2,88,40,4.7
placido de castro,-10.34,-67.19,BR,5/31/2019,75.63,84,95,2.13
grand-santi,4.27,-54.38,GF,5/31/2019,73.29,99,100,2.95
tura,25.52,90.21,IN,5/31/2019,83.01,71,94,7.2
panacan,7.15,125.66,PH,5/31/2019,90,66,40,4.7
canico,32.63,-16.85,PT,5/31/2019,68,82,20,2.24
fuxin,42.02,121.65,CN,5/31/2019,72.93,28,0,14.25
yumen,40.29,97.04,CN,5/31/2019,75.45,10,0,22.59
mnogovershinnyy,53.94,139.92,RU,5/31/2019,47.19,91,78,8.9
ust-koksa,50.27,85.62,RU,5/31/2019,48.45,51,10,6.6
aklavik,68.22,-135.01,CA,5/31/2019,51.8,40,20,11.41
narsaq,60.91,-46.05,GL,5/31/2019,48.2,19,0,16.11
loa janan,-0.58,117.09,ID,5/31/2019,92.55,51,94,2.19
kieta,-6.22,155.63,PG,5/31/2019,84.45,74,76,12.12
fuerte olimpo,-21.04,-57.87,BR,5/31/2019,79.77,59,71,4.34
togitsu,32.83,129.83,JP,5/31/2019,68,82,75,4.7
la mesa,32.77,-117.02,US,5/31/2019,62.01,87,1,4.7
jerusalem,31.78,35.23,PS,5/31/2019,73.4,83,0,8.05
komatipoort,-25.43,31.96,MZ,5/31/2019,48.99,92,0,3.44
tiarei,-17.53,-149.33,PF,5/31/2019,80.6,78,40,5.82
carutapera,-1.2,-46.02,BR,5/31/2019,76.71,94,100,5.48
pangai,-19.8,-174.35,TO,5/31/2019,78.8,74,20,8.05
umm kaddadah,13.6,26.69,SD,5/31/2019,89.13,30,98,8.25
rudnya,50.8,44.56,RU,5/31/2019,71.31,65,0,1.88
sijunjung,-0.69,100.95,ID,5/31/2019,79.95,63,67,4.79
khuzhir,53.19,107.35,RU,5/31/2019,70.23,27,30,3.31
mishkino,56.22,46.62,RU,5/31/2019,69.8,64,0,6.71
kurumkan,54.33,110.32,RU,5/31/2019,44.49,79,100,7.14
verkhoyansk,67.55,133.39,RU,5/31/2019,56.37,44,0,16.2
masvingo,-20.08,30.83,ZW,5/31/2019,49.71,91,0,2.15
pisco,-13.71,-76.2,PE,5/31/2019,64.4,88,90,3.36
luderitz,-26.65,15.16,NA,5/31/2019,53.6,93,0,6.93
garowe,8.41,48.48,SO,5/31/2019,78.51,68,100,5.82
oranjestad,12.52,-70.03,AW,5/31/2019,82.4,78,40,11.41
xining,36.62,101.77,CN,5/31/2019,50.79,49,98,5.79
dauphin,51.15,-100.04,CA,5/31/2019,51.8,50,1,18.34
mathathane,-22.27,28.75,BW,5/31/2019,54.57,81,0,4.61
deoli,25.76,75.37,IN,5/31/2019,99.75,21,2,15.01
cabanas,43.42,-8.16,ES,5/31/2019,66.2,93,0,3.36
mahina,13.76,-10.85,ML,5/31/2019,100.83,20,98,18.12
aasiaat,68.71,-52.87,GL,5/31/2019,31.17,80,56,1.14
piacabucu,-10.41,-36.43,BR,5/31/2019,77.43,83,3,6.33
yabelo,4.89,38.09,ET,5/31/2019,61.95,94,100,4.47
kendari,-3.99,122.52,ID,5/31/2019,81.39,88,97,3.2
pitimbu,-7.47,-34.81,BR,5/31/2019,75.2,83,40,4.7
shimoda,34.7,138.93,JP,5/31/2019,77,64,75,12.75
kenora,49.76,-94.48,CA,5/31/2019,64.4,54,40,9.17
marigot,18.23,-72.32,HT,5/31/2019,75.99,94,0,6.93
nara,34.68,135.8,JP,5/31/2019,75.2,60,75,5.82
salalah,17.01,54.1,OM,5/31/2019,86,74,75,2.24
lasa,34.92,32.53,CY,5/31/2019,77,83,0,10.29
manzanillo,20.34,-77.12,CU,5/31/2019,82.29,74,34,5.86
guarapari,-20.67,-40.5,BR,5/31/2019,75.2,88,20,3.36
beloha,-25.17,45.06,MG,5/31/2019,62.85,95,0,5.46
mahendranagar,28.02,81.63,IN,5/31/2019,95.07,41,0,14.85
kostryzhivka,48.65,25.71,UA,5/31/2019,60.01,100,75,6.71
togur,58.36,82.83,RU,5/31/2019,50.79,64,97,11.05
salinas,36.67,-121.66,US,5/31/2019,59,87,1,10.29
yuxia,34.06,108.63,CN,5/31/2019,80.6,39,0,6.71
porto novo,-23.68,-45.44,BR,5/31/2019,66.2,88,0,9.82
babati,-4.21,35.75,TZ,5/31/2019,50.43,99,47,4.25
hasaki,35.73,140.83,JP,5/31/2019,75.99,69,75,14.99
kichera,55.93,110.1,RU,5/31/2019,41.79,79,88,6.91
zarubino,42.65,131.06,RU,5/31/2019,66.99,38,35,12.93
madimba,4.42,9.93,CM,5/31/2019,77,94,75,3.36
forbesganj,26.3,87.26,IN,5/31/2019,88.59,49,34,15.61
las vegas,36.17,-115.15,US,5/31/2019,86,26,75,11.41
torfyanoy,58.49,49.2,RU,5/31/2019,60.87,88,23,7.76
ilulissat,69.22,-51.1,GL,5/31/2019,39.2,62,9,6.15
igrim,63.19,64.42,RU,5/31/2019,46.29,46,100,3.49
ilhabela,-23.78,-45.36,BR,5/31/2019,77.43,79,24,9.82
caidian,30.59,114.03,CN,5/31/2019,75.2,78,40,6.71
todos santos,23.45,-110.23,MX,5/31/2019,75.99,57,5,14.2
sao filipe,14.9,-24.5,CV,5/31/2019,73.65,88,4,16.08
sharya,58.37,45.52,RU,5/31/2019,56.91,83,0,5.35
presidencia roque saenz pena,-26.79,-60.44,AR,5/31/2019,57.99,98,1,4.92
